Sl.No,Replication,POINT_X,POINT_Y,SubRegion,Region
1,XCS_1_FS,-78.94044886,39.69825074,Finzel,Maryland
2,XCS_2_FS,-78.93783345,39.70237616,Finzel,Maryland
3,XCS_3_FS,-78.93808175,39.70075795,Finzel,Maryland
4,XDS_1_FS,-78.94298497,39.69781105,Finzel,Maryland
5,XDS_2_FS,-78.93798891,39.7018202,Finzel,Maryland
6,XDS_3_FS,-78.93727723,39.70175297,Finzel,Maryland
7,XPK_1_FS,-78.94346127,39.69784688,Finzel,Maryland
8,XPK_2_FS,-78.93700876,39.70227118,Finzel,Maryland
9,XPK_3_FS,-78.94198592,39.69787564,Finzel,Maryland
10,XCS_1_CS,-79.4774161,39.54942562,Cranesville,Maryland
11,XCS_2_CS,-79.47855744,39.55161387,Cranesville,Maryland
12,XCS_3_CS,-79.4791399,39.55016799,Cranesville,Maryland
13,XDS_1_CS,-79.47848262,39.54935946,Cranesville,Maryland
14,XDS_2_CS,-79.47792481,39.54982685,Cranesville,Maryland
15,XDS_3_CS,-79.47821109,39.55032665,Cranesville,Maryland
16,XPK_1_CS,-79.47945177,39.54943841,Cranesville,Maryland
17,XPK_2_CS,-79.47805073,39.54892797,Cranesville,Maryland
18,XPK_3_CS,-79.47907578,39.55077568,Cranesville,Maryland
19,XCS_1_WV,-79.58846442,38.69631363,GMA1,West_Virginia
20,XDS_1_WV,-79.59545893,38.69729858,GMA1,West_Virginia
21,XPK_1_WV,-79.60052568,38.69811088,GMA1,West_Virginia
22,XSK_1_WV,-79.58706522,38.69629046,GMA1,West_Virginia
23,XCS_2_WV,-79.60393824,38.69216011,GMA2,West_Virginia
24,XCS_3_WV,-79.59783844,38.68995034,GMA2,West_Virginia
25,XCS_4_WV,-79.59537716,38.6898675,GMA2,West_Virginia
26,XDS_2_WV,-79.60143097,38.69171746,GMA2,West_Virginia
27,XDS_3_WV,-79.59538227,38.69063281,GMA2,West_Virginia
28,XDS_4_WV,-79.596603,38.68982016,GMA2,West_Virginia
29,XPK_2_WV,-79.59761324,38.69146361,GMA2,West_Virginia
30,XPK_3_WV,-79.60059632,38.69150238,GMA2,West_Virginia
31,XPK_4_WV,-79.60028653,38.69027864,GMA2,West_Virginia
32,XSK_2_WV,-79.5979822,38.69138294,GMA2,West_Virginia
33,XSK_3_WV,-79.60207862,38.69173357,GMA2,West_Virginia
34,XSK_4_WV,-79.59639181,38.69020497,GMA2,West_Virginia
35,XCS_5_WV,-79.64434956,38.73872644,Dry_fork,West_Virginia
36,XDS_5_WV,-79.6447398,38.73969527,Dry_fork,West_Virginia
37,XPK_5_WV,-79.64331339,38.73978122,Dry_fork,West_Virginia
38,XSK_5_WV,-79.64370206,38.74078534,Dry_fork,West_Virginia
39,BFA_5_VA,-81.90159052,36.92498419,Unit_5,Virginia
40,KOS_5_VA,-81.89931337,36.92549546,Unit_5,Virginia
41,XDS_5_VA,-81.90075596,36.92549804,Unit_5,Virginia
42,XPK_5_VA,-81.90017444,36.92515913,Unit_5,Virginia
43,BFA_3_VA,-81.87587183,36.91767204,Unit_3,Virginia
44,KOS_3_VA,-81.8758959,36.91820904,Unit_3,Virginia
45,XDS_3_VA,-81.875306,36.91702568,Unit_3,Virginia
46,XPK_3_VA,-81.8751451,36.91571904,Unit_3,Virginia
47,BFA_2_VA,-81.85229601,36.93791109,Unit_2,Virginia
48,KOS_2_VA,-81.85346194,36.93706916,Unit_2,Virginia
49,XDS_2_VA,-81.85343704,36.93772006,Unit_2,Virginia
50,XPK_2_VA,-81.85288077,36.93843352,Unit_2,Virginia
51,BFA_1_VA,-81.85605521,36.94458716,Unit_1,Virginia
52,KOS_1_VA,-81.85658964,36.94411203,Unit_1,Virginia
53,XDS_1_VA,-81.85488025,36.94376141,Unit_1,Virginia
54,XPK_1_VA,-81.85454112,36.9431574,Unit_1,Virginia
